idfcod,idfarr,"idfarr,idfcod"
50101100,cstcgar1,"cstcgar1,50101100"
50101101,cstcgar2,"cstcgar2,50101101"
50101102,maevegl1,"maevegl1,50101102"
50101103,mevasub1,"mevasub1,50101103"
50101104,mevasub2,"mevasub2,50101104"
50101105,mevbsit1,"mevbsit1,50101105"
50101106,mevbsit2,"mevbsit2,50101106"
50101107,mevcron1,"mevcron1,50101107"
50101108,mevpcez1,"mevpcez1,50101108"
50101109,mevpcez2,"mevpcez2,50101109"
50101110,mevrrou1,"mevrrou1,50101110"
50101111,mevrrou2,"mevrrou2,50101111"
50101112,mvpg1,"mvpg1,50101112"
50101113,nucweni1,"nucweni1,50101113"
50101114,nuweini2,"nuweini2,50101114"
50101115,pogalg2,"pogalg2,50101115"
50101116,ponthop1,"ponthop1,50101116"
50101117,pontpos2,"pontpos2,50101117"
50101118,popost1,"popost1,50101118"
50101119,popost2,"popost2,50101119"
50101120,vearleg3,"vearleg3,50101120"
50101129,chaculf2,"chaculf2,50101129"
