idfcod,idfarr,"idfarr,idfcod"
50089864,guygrad,"guygrad,50089864"
50089865,guytech,"guytech,50089865"
50089866,elachap,"elachap,50089866"
50089867,lveetan2,"lveetan2,50089867"
50089868,lvedure2,"lvedure2,50089868"
50089869,lvemair2,"lvemair2,50089869"
50089870,lvelecl2,"lvelecl2,50089870"
50089871,lveorly2,"lveorly2,50089871"
50089872,lvegare3,"lvegare3,50089872"
50089873,lvelapi,"lvelapi,50089873"
50089874,lvehopi,"lvehopi,50089874"
50089875,lvechat,"lvechat,50089875"
50089876,msddamp,"msddamp,50089876"
50089877,msdfont2,"msdfont2,50089877"
50089878,msdplac,"msdplac,50089878"
50089879,msdplac2,"msdplac2,50089879"
50089880,msdgsch2,"msdgsch2,50089880"
50089881,msddamp2,"msddamp2,50089881"
50089882,lvechat2,"lvechat2,50089882"
50089883,lvehopi2,"lvehopi2,50089883"
50089884,lvelapi2,"lvelapi2,50089884"
50089885,lvegare4,"lvegare4,50089885"
50089886,lvelecl,"lvelecl,50089886"
50089887,lvemair,"lvemair,50089887"
50089888,lvedure,"lvedure,50089888"
50089889,lveetan,"lveetan,50089889"
50089890,elachap2,"elachap2,50089890"
50089891,mbrga21,"mbrga21,50089891"
50089892,mbrga22,"mbrga22,50089892"
50089893,elastas2,"elastas2,50089893"
50089894,elaferm2,"elaferm2,50089894"
50089895,elaocre,"elaocre,50089895"
50089896,elaquat,"elaquat,50089896"
50089897,maucomm,"maucomm,50089897"
50089898,lvegare5,"lvegare5,50089898"
50089899,coipont,"coipont,50089899"
50089900,coifont,"coifont,50089900"
50089901,coimaur,"coimaur,50089901"
50089902,coicogn,"coicogn,50089902"
50089903,coiprev,"coiprev,50089903"
50089904,coimair,"coimair,50089904"
50089905,coiecol,"coiecol,50089905"
50089906,lvegare2,"lvegare2,50089906"
50089907,maucomm2,"maucomm2,50089907"
50089908,elaquat2,"elaquat2,50089908"
50089909,elaocre2,"elaocre2,50089909"
50089910,elaferm,"elaferm,50089910"
50089911,elastas,"elastas,50089911"
50089912,elacote,"elacote,50089912"
50089913,coimair2,"coimair2,50089913"
50089914,coiprev2,"coiprev2,50089914"
50089915,coicogn2,"coicogn2,50089915"
50089916,coimaur2,"coimaur2,50089916"
50089917,coifont2,"coifont2,50089917"
50089918,coipont2,"coipont2,50089918"
50089919,trapiss,"trapiss,50089919"
50089920,eladide,"eladide,50089920"
50089921,elalatt2,"elalatt2,50089921"
50089922,elamail,"elamail,50089922"
50089923,elagayl2,"elagayl2,50089923"
50089924,elareva,"elareva,50089924"
50089925,elareva2,"elareva2,50089925"
50089926,elagayl3,"elagayl3,50089926"
50089927,elamail2,"elamail2,50089927"
50089928,elalatt,"elalatt,50089928"
50089929,eladide2,"eladide2,50089929"
50089930,trapiss2,"trapiss2,50089930"
50089931,elasmar2,"elasmar2,50089931"
50089932,elasmar,"elasmar,50089932"
50089933,mbrbret2,"mbrbret2,50089933"
50089934,mbrhame3,"mbrhame3,50089934"
50089935,mbrfort2,"mbrfort2,50089935"
50089936,mbrberg,"mbrberg,50089936"
50089937,mbrarca2,"mbrarca2,50089937"
50089938,mbrhote2,"mbrhote2,50089938"
50089939,mbrremi2,"mbrremi2,50089939"
50089940,mbrdesc4,"mbrdesc4,50089940"
50089941,mbrvill2,"mbrvill2,50089941"
50089942,mbrclos2,"mbrclos2,50089942"
50089943,mbrmane2,"mbrmane2,50089943"
50089944,mbrcarn,"mbrcarn,50089944"
50089945,mbrbuis2,"mbrbuis2,50089945"
50089946,traobse2,"traobse2,50089946"
50089947,tragar21,"tragar21,50089947"
50089948,mbrniep,"mbrniep,50089948"
50089949,mbrnewt2,"mbrnewt2,50089949"
50089950,tragar20,"tragar20,50089950"
50089951,traobse,"traobse,50089951"
50089952,mbrbuis,"mbrbuis,50089952"
50089953,mbrcarn2,"mbrcarn2,50089953"
50089954,mbrgouj,"mbrgouj,50089954"
50089955,mbrmane,"mbrmane,50089955"
50089956,mbrclos,"mbrclos,50089956"
50089957,mbrvill,"mbrvill,50089957"
50089958,mbrdesc3,"mbrdesc3,50089958"
50089959,mbrremi,"mbrremi,50089959"
50089960,mbrhote,"mbrhote,50089960"
